period,fecha,interes,cap,amort,residual
1,10/07/2023,1.75,0,0,100
2,09/01/2024,1.75,0,0,100
3,10/07/2024,1.75,0,0,100
4,09/01/2025,1.75,0,0,100
5,10/07/2025,1.75,0,0,100
6,09/01/2026,1.75,0,0,100
7,10/07/2026,1.75,0,0,100
8,11/01/2027,1.75,0,0,100
9,12/07/2027,1.75,0,0,100
10,10/01/2028,1.75,0,3.57,96.43
11,10/07/2028,1.688,0,3.57,92.86000000000001
12,09/01/2029,1.625,0,3.57,89.29000000000002
13,10/07/2029,1.563,0,3.57,85.72000000000003
14,09/01/2030,2.089,0,3.57,82.15000000000003
15,10/07/2030,2.002,0,3.57,78.58000000000004
16,09/01/2031,1.915,0,3.57,75.01000000000005
17,10/07/2031,1.828,0,3.57,71.44000000000005
18,09/01/2032,1.741,0,3.57,67.87000000000006
19,12/07/2032,1.654,0,3.57,64.30000000000007
20,10/01/2033,1.567,0,3.57,60.73000000000007
21,11/07/2033,1.48,0,3.57,57.16000000000007
22,09/01/2034,1.393,0,3.57,53.59000000000007
23,10/07/2034,1.306,0,3.57,50.02000000000007
24,09/01/2035,1.219,0,3.57,46.45000000000007
25,10/07/2035,1.132,0,3.57,42.88000000000007
26,09/01/2036,1.045,0,3.57,39.310000000000066
27,10/07/2036,0.958,0,3.57,35.740000000000066
28,09/01/2037,0.871,0,3.57,32.170000000000066
29,10/07/2037,0.783,0,3.57,28.600000000000065
30,11/01/2038,0.696,0,3.57,25.030000000000065
31,12/07/2038,0.609,0,3.57,21.460000000000065
32,10/01/2039,0.522,0,3.57,17.890000000000065
33,11/07/2039,0.435,0,3.57,14.320000000000064
34,09/01/2040,0.348,0,3.57,10.750000000000064
35,10/07/2040,0.261,0,3.57,7.180000000000064
36,09/01/2041,0.174,0,3.57,3.610000000000064
37,10/07/2041,0.087,0,3.61,6.394884621840902E-14